kabupaten_kota,garis_kemiskinan_2015,garis_kemiskinan_2016,garis_kemiskinan_2017,garis_kemiskinan_2018,garis_kemiskinan_2019,garis_kemiskinan_2020,garis_kemiskinan_2021,garis_kemiskinan_2022,garis_kemiskinan_2023,garis_kemiskinan_2024,ipm_2015,ipm_2016,ipm_2017,ipm_2018,ipm_2019,ipm_2020,ipm_2021,ipm_2022,ipm_2023,ipm_2024,pengeluaran_perkapita_2015,pengeluaran_perkapita_2016,pengeluaran_perkapita_2017,pengeluaran_perkapita_2018,pengeluaran_perkapita_2019,pengeluaran_perkapita_2020,pengeluaran_perkapita_2021,pengeluaran_perkapita_2022,pengeluaran_perkapita_2023,pengeluaran_perkapita_2024
Aceh Barat,424227.0,441909.0,446614.0,447089.0,471058.0,517264.0,533712.0,558638.0,616091.0,644009.0,68.41,69.26,70.2,70.47,71.22,71.38,71.67,72.34,72.88,73.69,8135.0,8559.0,8989.0,9134.0,9692.0,9516.0,9593.0,9775.0,10085.0,10548.0
Aceh Barat Daya,292323.0,306930.0,329543.0,340903.0,358059.0,393640.0,406157.0,430297.0,474127.0,516947.0,63.77,64.57,65.09,65.67,66.56,66.75,66.99,67.41,68.07,68.75,7303.0,7567.0,7723.0,8093.0,8491.0,8316.0,8428.0,8651.0,9043.0,9559.0
Aceh Besar,366676.0,384545.0,398752.0,422051.0,447563.0,477938.0,489498.0,519320.0,564431.0,586860.0,71.7,71.75,72.0,72.73,73.55,73.56,73.58,74.0,74.53,75.13,8775.0,8788.0,8965.0,9192.0,9661.0,9641.0,9644.0,9894.0,10309.0,10810.0
Aceh Jaya,316304.0,331940.0,356060.0,373690.0,391677.0,428094.0,441706.0,468854.0,515244.0,536092.0,67.53,67.7,68.07,68.83,69.74,69.75,69.84,70.36,70.88,71.83,8749.0,8796.0,8898.0,9262.0,9682.0,9615.0,9666.0,10041.0,10461.0,11007.0
Aceh Selatan,288619.0,304466.0,332177.0,351288.0,369107.0,405786.0,418689.0,446224.0,494565.0,528243.0,63.28,64.13,65.03,65.92,66.9,67.12,67.44,67.87,68.44,69.1,7224.0,7397.0,7567.0,7891.0,8187.0,8089.0,8180.0,8353.0,8712.0,9190.0
Aceh Singkil,351409.0,368968.0,406015.0,427804.0,450217.0,473983.0,487249.0,518951.0,568691.0,609322.0,66.05,66.96,67.37,68.02,68.91,68.94,69.22,69.62,70.14,70.75,7602.0,8068.0,8230.0,8506.0,8715.0,8707.0,8776.0,8994.0,9374.0,9862.0
Aceh Tamiang,343246.0,368691.0,389459.0,420841.0,437991.0,459387.0,479801.0,508599.0,555387.0,583294.0,67.03,67.41,67.99,68.45,69.23,69.24,69.48,70.43,71.35,72.32,7750.0,7766.0,7931.0,8032.0,8362.0,8327.0,8367.0,8759.0,9050.0,9529.0
Aceh Tengah,380858.0,397859.0,427170.0,445250.0,468577.0,492227.0,505933.0,533810.0,584863.0,626090.0,71.51,72.04,72.19,72.64,73.14,73.24,73.37,73.95,74.6,75.41,9473.0,9920.0,10021.0,10394.0,10782.0,10673.0,10780.0,10957.0,11323.0,11805.0
Aceh Tenggara,212025.0,221799.0,250854.0,340196.0,357015.0,392493.0,404725.0,430825.0,471301.0,496074.0,66.77,67.48,68.09,68.67,69.36,69.37,69.44,70.32,71.05,71.7,7001.0,7212.0,7359.0,7685.0,8067.0,8020.0,8030.0,8222.0,8566.0,8876.0
Aceh Timur,328048.0,350186.0,369911.0,398493.0,417715.0,440455.0,460422.0,491550.0,530934.0,557943.0,64.55,65.42,66.32,66.82,67.39,67.63,67.83,68.72,69.32,69.87,7623.0,7825.0,7961.0,8252.0,8600.0,8489.0,8577.0,9127.0,9436.0,9889.0
Aceh Utara,280683.0,301733.0,318729.0,340086.0,353856.0,375394.0,392412.0,420615.0,454361.0,473719.0,66.85,67.19,67.67,68.36,69.22,69.33,69.46,70.22,70.87,71.7,7327.0,7520.0,7632.0,7919.0,8189.0,8122.0,8201.0,8620.0,8970.0,9374.0
Agam,279590.0,315804.0,327004.0,341372.0,379304.0,424728.0,444711.0,485222.0,530290.0,558963.0,69.84,70.36,71.1,71.7,72.37,72.46,72.57,73.29,73.98,74.66,8859.0,9111.0,9388.0,9489.0,9780.0,9651.0,9662.0,10171.0,10402.0,10686.0
Alor,250327.0,268450.0,287878.0,305853.0,311560.0,336402.0,364939.0,400858.0,438013.0,446875.0,58.5,58.99,59.61,60.14,61.03,61.33,61.37,62.26,62.99,63.82,6346.0,6468.0,6553.0,6750.0,6958.0,6786.0,6751.0,7198.0,7565.0,7806.0
Asahan,262464.0,292030.0,305868.0,315420.0,330460.0,351314.0,377752.0,397944.0,427293.0,454298.0,68.4,68.71,69.1,69.49,69.92,70.29,70.49,71.13,71.56,72.09,10067.0,10288.0,10477.0,10735.0,10983.0,10890.0,11030.0,11515.0,11795.0,12301.0
Asmat,299893.0,316437.0,349487.0,354478.0,364728.0,383790.0,405368.0,424978.0,450237.0,487035.0,46.62,47.31,48.49,49.37,50.37,50.55,51.29,52.22,53.19,53.92,5533.0,5601.0,5771.0,5882.0,6066.0,5733.0,5736.0,5860.0,6057.0,6262.0
Badung,454916.0,470732.0,500885.0,534069.0,547186.0,587737.0,613993.0,633769.0,688018.0,737800.0,78.86,79.8,80.54,80.87,81.59,81.6,81.83,82.13,83.08,83.87,16409.0,16567.0,17063.0,17325.0,17628.0,17503.0,17327.0,17445.0,17915.0,18556.0
Balangan,312445.0,348442.0,368580.0,382835.0,396532.0,441488.0,453928.0,476190.0,508157.0,528104.0,65.34,66.25,67.25,67.88,68.39,68.82,69.11,69.73,70.49,71.34,10736.0,10953.0,11186.0,11442.0,11557.0,11452.0,11500.0,11659.0,11888.0,12325.0
Bandung,275562.0,297483.0,310569.0,334929.0,345177.0,367403.0,378819.0,398884.0,426069.0,455636.0,70.05,70.69,71.02,71.75,72.41,72.39,72.73,73.16,73.74,74.27,9375.0,9580.0,9854.0,10203.0,10502.0,10201.0,10307.0,10588.0,11018.0,11392.0
Bandung Barat,275327.0,294823.0,309304.0,329415.0,341307.0,362212.0,374470.0,393956.0,426355.0,455325.0,65.23,65.81,66.63,67.46,68.27,68.08,68.29,69.04,69.61,70.03,7522.0,7698.0,8002.0,8329.0,8684.0,8455.0,8546.0,9044.0,9392.0,9583.0
