kabupaten_kota,ipm,garis_kemiskinan,pengeluaran_perkapita,tahun
Simeulue,63.16,311351.0,6328.0,2015
Aceh Singkil,66.05,351409.0,7602.0,2015
Aceh Selatan,63.28,288619.0,7224.0,2015
Aceh Tenggara,66.77,212025.0,7001.0,2015
Aceh Timur,64.55,328048.0,7623.0,2015
Aceh Tengah,71.51,380858.0,9473.0,2015
Aceh Barat,68.41,424227.0,8135.0,2015
Aceh Besar,71.7,366676.0,8775.0,2015
Pidie,68.68,374031.0,9233.0,2015
Bireuen,69.77,301027.0,7622.0,2015
Aceh Utara,66.85,280683.0,7327.0,2015
Aceh Barat Daya,63.77,292323.0,7303.0,2015
Gayo Lues,63.67,286882.0,7780.0,2015
Aceh Tamiang,67.03,343246.0,7750.0,2015
Nagan Raya,66.73,361359.0,7141.0,2015
Aceh Jaya,67.53,316304.0,8749.0,2015
Bener Meriah,70.62,338719.0,9760.0,2015
Pidie Jaya,70.49,380371.0,9398.0,2015
Kota Banda Aceh,83.25,523444.0,15362.0,2015
Kota Sabang,72.51,475111.0,10041.0,2015
Kota Langsa,74.74,307260.0,10605.0,2015
Kota Lhokseumawe,75.11,303155.0,10093.0,2015
Kota Subulussalam,61.32,244628.0,6504.0,2015
Nias,58.85,287527.0,6234.0,2015
Mandailing Natal,63.99,280506.0,9096.0,2015
Tapanuli Selatan,67.63,300449.0,10623.0,2015
Tapanuli Tengah,67.06,307710.0,9555.0,2015
Tapanuli Utara,71.32,291893.0,11079.0,2015
Labuhan Batu,70.23,298650.0,10356.0,2015
Asahan,68.4,262464.0,10067.0,2015
Simalungun,71.24,283234.0,10728.0,2015
Dairi,69.0,263359.0,9708.0,2015
Karo,72.69,357954.0,11800.0,2015
Deli Serdang,72.79,304183.0,11359.0,2015
Langkat,68.53,304825.0,10364.0,2015
Nias Selatan,58.74,220455.0,6454.0,2015
Humbang Hasundutan,66.03,262317.0,6889.0,2015
Pakpak Bharat,65.53,217919.0,7496.0,2015
Samosir,68.43,242263.0,7698.0,2015
Serdang Bedagai,68.01,301639.0,10110.0,2015
