Provinsi/Kabupaten/Kota,
,[Metode Baru] Indeks Pembangunan Manusia
,2011
ACEH,67.45
Simeulue,61.03
Aceh Singkil,63.13
Aceh Selatan,61.52
Aceh Tenggara,64.27
Aceh Timur,62.35
Aceh Tengah,70
Aceh Barat,66.47
Aceh Besar,69.94
Pidie,66.95
Bireuen,67.03
Aceh Utara,64.22
Aceh Barat Daya,61.75
Gayo Lues,61.91
Aceh Tamiang,64.89
Nagan Raya,64.24
Aceh Jaya,65.17
Bener Meriah,68.24
Pidie Jaya,68.69
Kota Banda Aceh,80.87
Kota Sabang,70.15
Kota Langsa,72.15
Kota Lhokseumawe,72.35
Kota Subulussalam,59.34
SUMATERA UTARA,67.34
Nias,55.55
Mandailing Natal,61.6
Tapanuli Selatan,65.14
Tapanuli Tengah,65.16
Tapanuli Utara,69.24
Toba Samosir / Toba,71.39
Labuhan Batu,67.88
Asahan,65.87
Simalungun,69.03
Dairi,66.62
Karo,71.12
Deli Serdang,70.25
Langkat,65.77
Nias Selatan,55.5
Humbang Hasundutan,64.06
Pakpak Bharat,63.11
Samosir,65.81
Serdang Bedagai,65.28
Batu Bara,63.95
Padang Lawas Utara,65.22
Padang Lawas,63.28
Labuhan Batu Selatan,65.77
Labuhan Batu Utara,67.37
Nias Utara,57.53
Nias Barat,55.43
Kota Sibolga,69.17
Kota Tanjung Balai,64.13
Kota Pematang Siantar,73.61
Kota Tebing Tinggi,70.84
Kota Medan,77.54
Kota Binjai,70.85
Kota Padangsidimpuan,71.08
Kota Gunungsitoli,63.71
SUMATERA BARAT,67.81
Kepulauan Mentawai,55.9
Pesisir Selatan,65.8
Solok,65.28
Sijunjung,62.92
Tanah Datar,66.92
Padang Pariaman,65.89
Agam,66.94
Lima Puluh Kota,65.2
Pasaman,61.57
Solok Selatan,64.81
Dharmasraya,67.4
Pasaman Barat,62.55
Kota Padang,78.68
Kota Solok,74.68
Kota Sawah Lunto,67.97
Kota Padang Panjang,73.76
Kota Bukittinggi,76.3
Kota Payakumbuh,75.39
Kota Pariaman,73.07
RIAU,68.9
Kuantan Singingi,65.72
Indragiri Hulu,65.93
Indragiri Hilir,62.82
Pelalawan,66.58
Siak,70.2
Kampar,69.64
Rokan Hulu,64.2
Bengkalis,69.72
Rokan Hilir,64.76
Kepulauan Meranti,60.38
Kota Pekanbaru,77.71
Kota Dumai,70.43
JAMBI,66.14
Kerinci,65.85
Merangin,64.4
Sarolangun,65.2
Batang Hari,66.32
Muaro Jambi,63.39
Tanjung Jabung Timur,57.77
Tanjung Jabung Barat,61.98
Tebo,64.45
Bungo,66.7
Kota Jambi,72.96
Kota Sungai Penuh,70.55
SUMATERA SELATAN,65.12
Ogan Komering Ulu,64.62
Ogan Komering Ilir,61.68
Muara Enim,62.82
Lahat,62.93
Musi Rawas,60.63
Musi Banyuasin,62.56
Banyu Asin,61.04
Ogan Komering Ulu Selatan,59.74
Ogan Komering Ulu Timur,64.27
Ogan Ilir,62.47
Empat Lawang,61.86
Penukal Abab Lematang Ilir,-
Musi Rawas Utara,-
Kota Palembang,74.08
Kota Prabumulih,70.32
Kota Pagar Alam,62.71
Kota Lubuklinggau,71.62
BENGKULU,65.96
Bengkulu Selatan,66.5
Rejang Lebong,64.92
Bengkulu Utara,64.61
Kaur,61.85
Seluma,61.01
Mukomuko,63.71
Lebong,62.43
Kepahiang,63.44
Bengkulu Tengah,62.54
Kota Bengkulu,75.31
LAMPUNG,64.2
Lampung Barat,61.92
Tanggamus,60.63
Lampung Selatan,61.95
Lampung Timur,64.1
Lampung Tengah,64.71
Lampung Utara,62.67
Way Kanan,62.04
Tulangbawang,63.67
Pesawaran,59.44
Pringsewu,64.86
Mesuji,57.32
Tulang Bawang Barat,60.13
Pesisir Barat,-
Kota Bandar Lampung,72.04
Kota Metro,72.23
KEP. BANGKA BELITUNG,66.59
Bangka,67.37
Belitung,67.17
Bangka Barat,64
Bangka Tengah,66.09
Bangka Selatan,60.53
Belitung Timur,65.86
Kota Pangkal Pinang,75.02
KEPULAUAN RIAU,71.61
Karimun,66.82
Bintan,70.47
Natuna,67.76
Lingga,58.51
Kepulauan Anambas,63.71
Kota Batam,77.82
Kota Tanjung Pinang,74.86
DKI JAKARTA,76.98
Kep. Seribu,65.79
Kota Jakarta Selatan,81.22
Kota Jakarta Timur,78.82
Kota Jakarta Pusat,77.97
Kota Jakarta Barat,77.41
Kota Jakarta Utara,76.12
JAWA BARAT,66.67
Bogor,64.78
Sukabumi,61.14
Cianjur,59.38
Bandung,67.78
Garut,60.55
Tasikmalaya,61.05
Ciamis,65.48
Kuningan,65.04
Cirebon,64.17
Majalengka,62.67
Sumedang,66.16
Indramayu,61.47
Subang,64.21
Purwakarta,65.51
Karawang,65.21
Bekasi,68.66
Bandung Barat,62.36
