Provinsi/Kabupaten/Kota,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun)
,2016
ACEH,8768
Simeulue,6542
Aceh Singkil,8068
Aceh Selatan,7397
Aceh Tenggara,7212
Aceh Timur,7825
Aceh Tengah,9920
Aceh Barat,8559
Aceh Besar,8788
Pidie,9273
Bireuen,7885
Aceh Utara,7520
Aceh Barat Daya,7567
Gayo Lues,8048
Aceh Tamiang,7766
Nagan Raya,7460
Aceh Jaya,8796
Bener Meriah,10140
Pidie Jaya,9590
Kota Banda Aceh,15737
Kota Sabang,10507
Kota Langsa,11015
Kota Lhokseumawe,10549
Kota Subulussalam,6669
SUMATERA UTARA,9744
Nias,6409
Mandailing Natal,9237
Tapanuli Selatan,10821
Tapanuli Tengah,9694
Tapanuli Utara,11242
Toba Samosir / Toba,11687
Labuhan Batu,10559
Asahan,10288
Simalungun,10855
Dairi,10190
Karo,11925
Deli Serdang,11683
Langkat,10567
Nias Selatan,6647
Humbang Hasundutan,7135
Pakpak Bharat,7641
Samosir,7813
Serdang Bedagai,10246
Batu Bara,9886
Padang Lawas Utara,9600
Padang Lawas,8094
Labuhan Batu Selatan,10712
Labuhan Batu Utara,11278
Nias Utara,5770
Nias Barat,5391
Kota Sibolga,11034
Kota Tanjung Balai,10577
Kota Pematang Siantar,11878
Kota Tebing Tinggi,11747
Kota Medan,14393
Kota Binjai,10342
Kota Padangsidimpuan,10198
Kota Gunungsitoli,6963
SUMATERA BARAT,10126
Kepulauan Mentawai,5771
Pesisir Selatan,8605
Solok,9664
Sijunjung,9895
Tanah Datar,10296
Padang Pariaman,10455
Agam,9111
Lima Puluh Kota,8936
Pasaman,7678
Solok Selatan,9802
Dharmasraya,10781
Pasaman Barat,8393
Kota Padang,13721
Kota Solok,11519
Kota Sawah Lunto,9051
Kota Padang Panjang,9804
Kota Bukittinggi,12475
Kota Payakumbuh,12705
Kota Pariaman,12141
RIAU,10465
Kuantan Singingi,9892
Indragiri Hulu,10068
Indragiri Hilir,9911
Pelalawan,11641
Siak,11826
Kampar,10765
Rokan Hulu,9065
Bengkalis,11325
Rokan Hilir,9181
Kepulauan Meranti,7194
Kota Pekanbaru,14225
Kota Dumai,11531
JAMBI,9795
