kabupaten_kota,garis_kemiskinan_2015,garis_kemiskinan_2016,garis_kemiskinan_2017,garis_kemiskinan_2018,garis_kemiskinan_2019,garis_kemiskinan_2020,garis_kemiskinan_2021,garis_kemiskinan_2022,garis_kemiskinan_2023,garis_kemiskinan_2024
Aceh Barat,424227.0,441909.0,446614.0,447089.0,471058.0,517264.0,533712.0,558638.0,616091.0,644009.0
Aceh Barat Daya,292323.0,306930.0,329543.0,340903.0,358059.0,393640.0,406157.0,430297.0,474127.0,516947.0
Aceh Besar,366676.0,384545.0,398752.0,422051.0,447563.0,477938.0,489498.0,519320.0,564431.0,586860.0
Aceh Jaya,316304.0,331940.0,356060.0,373690.0,391677.0,428094.0,441706.0,468854.0,515244.0,536092.0
Aceh Selatan,288619.0,304466.0,332177.0,351288.0,369107.0,405786.0,418689.0,446224.0,494565.0,528243.0
Aceh Singkil,351409.0,368968.0,406015.0,427804.0,450217.0,473983.0,487249.0,518951.0,568691.0,609322.0
Aceh Tamiang,343246.0,368691.0,389459.0,420841.0,437991.0,459387.0,479801.0,508599.0,555387.0,583294.0
Aceh Tengah,380858.0,397859.0,427170.0,445250.0,468577.0,492227.0,505933.0,533810.0,584863.0,626090.0
Aceh Tenggara,212025.0,221799.0,250854.0,340196.0,357015.0,392493.0,404725.0,430825.0,471301.0,496074.0
Aceh Timur,328048.0,350186.0,369911.0,398493.0,417715.0,440455.0,460422.0,491550.0,530934.0,557943.0
Aceh Utara,280683.0,301733.0,318729.0,340086.0,353856.0,375394.0,392412.0,420615.0,454361.0,473719.0
Agam,279590.0,315804.0,327004.0,341372.0,379304.0,424728.0,444711.0,485222.0,530290.0,558963.0
Alor,250327.0,268450.0,287878.0,305853.0,311560.0,336402.0,364939.0,400858.0,438013.0,446875.0
Asahan,262464.0,292030.0,305868.0,315420.0,330460.0,351314.0,377752.0,397944.0,427293.0,454298.0
Asmat,299893.0,316437.0,349487.0,354478.0,364728.0,383790.0,405368.0,424978.0,450237.0,487035.0
Badung,454916.0,470732.0,500885.0,534069.0,547186.0,587737.0,613993.0,633769.0,688018.0,737800.0
Balangan,312445.0,348442.0,368580.0,382835.0,396532.0,441488.0,453928.0,476190.0,508157.0,528104.0
Bandung,275562.0,297483.0,310569.0,334929.0,345177.0,367403.0,378819.0,398884.0,426069.0,455636.0
Bandung Barat,275327.0,294823.0,309304.0,329415.0,341307.0,362212.0,374470.0,393956.0,426355.0,455325.0
Banggai,311258.0,344795.0,352840.0,373695.0,395700.0,417863.0,431639.0,457335.0,488788.0,515334.0
Banggai Kepulauan,260814.0,290742.0,300753.0,317475.0,338815.0,364025.0,373799.0,396904.0,432673.0,453552.0
Banggai Laut,274333.0,296716.0,306611.0,324734.0,335604.0,359768.0,366005.0,384686.0,424660.0,443877.0
Bangka,385899.0,427684.0,475024.0,497164.0,541925.0,577093.0,595429.0,639535.0,685810.0,723719.0
Bangka Barat,399401.0,440850.0,497567.0,520642.0,549496.0,589894.0,599887.0,635861.0,681517.0,720398.0
Bangka Selatan,374778.0,415359.0,462716.0,483823.0,523155.0,561617.0,581970.0,621629.0,669016.0,697382.0
Bangka Tengah,528720.0,586445.0,653308.0,680907.0,693842.0,721331.0,735479.0,773509.0,814969.0,856895.0
Bangkalan,319120.0,334338.0,349073.0,369455.0,389170.0,418908.0,432046.0,458754.0,503207.0,547017.0
Bangli,283849.0,305200.0,321674.0,327668.0,329014.0,346458.0,370732.0,401650.0,436928.0,465572.0
Banjar,327970.0,360494.0,381862.0,400081.0,429422.0,462375.0,482867.0,514991.0,561521.0,589165.0
Banjarnegara,236399.0,252328.0,264387.0,278210.0,301792.0,318334.0,328679.0,351333.0,380046.0,398344.0
Bantaeng,217595.0,223408.0,234286.0,260263.0,309357.0,340890.0,363342.0,394116.0,419677.0,434664.0
Bantul,312514.0,332057.0,347476.0,369480.0,381538.0,405613.0,418265.0,445511.0,488340.0,510740.0
Banyu Asin,311716.0,337391.0,353914.0,381437.0,397496.0,429816.0,445089.0,477393.0,509264.0,539283.0
Banyumas,320585.0,344514.0,357748.0,366442.0,385140.0,406250.0,417086.0,441520.0,479027.0,500861.0
Banyuwangi,295185.0,311722.0,319236.0,339891.0,353873.0,373679.0,387084.0,414879.0,448928.0,470713.0
Barito Kuala,246397.0,274571.0,291285.0,297199.0,318995.0,340526.0,355160.0,375707.0,417110.0,437579.0
Barito Selatan,333917.0,355341.0,377932.0,389405.0,408072.0,433787.0,450706.0,481352.0,512492.0,542075.0
Barito Timur,415710.0,442068.0,467091.0,478510.0,487185.0,517183.0,534896.0,571786.0,623053.0,663119.0
Barito Utara,408241.0,420100.0,446807.0,450936.0,472552.0,504430.0,525236.0,563393.0,590832.0,628429.0
Barru,263210.0,280316.0,289371.0,307904.0,322248.0,337047.0,351924.0,368150.0,400702.0,417396.0
Batang,224437.0,240541.0,249292.0,256549.0,286116.0,309202.0,318330.0,341252.0,378858.0,412196.0
Batang Hari,328769.0,341320.0,365365.0,394438.0,420227.0,450233.0,462468.0,497857.0,540168.0,613093.0
Batu Bara,320422.0,347533.0,363741.0,381651.0,408417.0,452393.0,477564.0,508524.0,556529.0,591201.0
Bekasi,394513.0,416058.0,434112.0,463507.0,481732.0,518667.0,549875.0,579221.0,632811.0,674924.0
Belitung,580050.0,610072.0,652989.0,704855.0,766276.0,812321.0,830484.0,860629.0,896948.0,919372.0
Belitung Timur,504668.0,528572.0,563309.0,622396.0,684277.0,725395.0,798017.0,854534.0,899482.0,907577.0
Belu,279442.0,300914.0,319280.0,330944.0,349414.0,372087.0,379280.0,416519.0,459111.0,476703.0
Bener Meriah,338719.0,363796.0,383289.0,413208.0,431643.0,457916.0,476074.0,512111.0,551868.0,591421.0
Bengkalis,420733.0,455021.0,496657.0,508633.0,533123.0,581416.0,604925.0,648933.0,713826.0,755572.0
Bengkayang,273629.0,291430.0,311815.0,339891.0,357112.0,365755.0,372793.0,396037.0,416148.0,440390.0
Bengkulu Selatan,294328.0,323991.0,346595.0,364888.0,377823.0,394513.0,408904.0,435955.0,467762.0,492627.0
Bengkulu Tengah,308010.0,342162.0,366034.0,389821.0,406137.0,431688.0,447435.0,512084.0,549468.0,582468.0
Bengkulu Utara,302989.0,333311.0,356566.0,359264.0,369367.0,387881.0,398746.0,423857.0,459171.0,484432.0
Berau,426681.0,465161.0,496385.0,502564.0,526615.0,568500.0,595550.0,624948.0,677819.0,731250.0
Biak Numfor,466074.0,491278.0,521782.0,528498.0,543971.0,574402.0,602931.0,627921.0,657182.0,677659.0
Bima,255962.0,282854.0,288703.0,308695.0,327602.0,356352.0,363228.0,395040.0,429327.0,451386.0
Bintan,313277.0,341812.0,354012.0,367294.0,384396.0,417654.0,424426.0,447933.0,474674.0,496764.0
Bireuen,301027.0,317562.0,335314.0,358399.0,393198.0,410203.0,422685.0,451163.0,486667.0,494866.0
Blitar,255966.0,272358.0,285474.0,305440.0,318534.0,325675.0,335573.0,355511.0,387733.0,408399.0
Blora,257581.0,279972.0,291114.0,308520.0,335837.0,353259.0,363649.0,390478.0,425135.0,464959.0
Boalemo,309227.0,332297.0,348581.0,368860.0,385122.0,426961.0,450724.0,472906.0,525007.0,551189.0
Bogor,290874.0,317430.0,337550.0,359787.0,373799.0,402877.0,418483.0,443787.0,482174.0,513512.0
Bojonegoro,284319.0,295250.0,309564.0,330544.0,347786.0,362383.0,380653.0,403403.0,435936.0,471457.0
Bolaang Mongondow,257170.0,277338.0,287751.0,295834.0,315400.0,325227.0,343302.0,355639.0,394032.0,415628.0
Bolaang Mongondow Selatan,256141.0,276229.0,288862.0,295875.0,316305.0,327648.0,345819.0,358465.0,397381.0,419865.0
Bolaang Mongondow Timur,261715.0,282240.0,293187.0,302924.0,323989.0,335241.0,353872.0,368578.0,411409.0,433873.0
Bolaang Mongondow Utara,207328.0,223588.0,230974.0,238645.0,254835.0,264227.0,275369.0,283627.0,316327.0,334448.0
