kabupaten_kota,ipm_2015,ipm_2016,ipm_2017,ipm_2018,ipm_2019,ipm_2020,ipm_2021,ipm_2022,ipm_2023,ipm_2024
Aceh Barat,68.41,69.26,70.2,70.47,71.22,71.38,71.67,72.34,72.88,73.69
Aceh Barat Daya,63.77,64.57,65.09,65.67,66.56,66.75,66.99,67.41,68.07,68.75
Aceh Besar,71.7,71.75,72.0,72.73,73.55,73.56,73.58,74.0,74.53,75.13
Aceh Jaya,67.53,67.7,68.07,68.83,69.74,69.75,69.84,70.36,70.88,71.83
Aceh Selatan,63.28,64.13,65.03,65.92,66.9,67.12,67.44,67.87,68.44,69.1
Aceh Singkil,66.05,66.96,67.37,68.02,68.91,68.94,69.22,69.62,70.14,70.75
Aceh Tamiang,67.03,67.41,67.99,68.45,69.23,69.24,69.48,70.43,71.35,72.32
Aceh Tengah,71.51,72.04,72.19,72.64,73.14,73.24,73.37,73.95,74.6,75.41
Aceh Tenggara,66.77,67.48,68.09,68.67,69.36,69.37,69.44,70.32,71.05,71.7
Aceh Timur,64.55,65.42,66.32,66.82,67.39,67.63,67.83,68.72,69.32,69.87
Aceh Utara,66.85,67.19,67.67,68.36,69.22,69.33,69.46,70.22,70.87,71.7
Agam,69.84,70.36,71.1,71.7,72.37,72.46,72.57,73.29,73.98,74.66
Alor,58.5,58.99,59.61,60.14,61.03,61.33,61.37,62.26,62.99,63.82
Asahan,68.4,68.71,69.1,69.49,69.92,70.29,70.49,71.13,71.56,72.09
Asmat,46.62,47.31,48.49,49.37,50.37,50.55,51.29,52.22,53.19,53.92
Badung,78.86,79.8,80.54,80.87,81.59,81.6,81.83,82.13,83.08,83.87
Balangan,65.34,66.25,67.25,67.88,68.39,68.82,69.11,69.73,70.49,71.34
Bandung,70.05,70.69,71.02,71.75,72.41,72.39,72.73,73.16,73.74,74.27
Bandung Barat,65.23,65.81,66.63,67.46,68.27,68.08,68.29,69.04,69.61,70.03
