kabupaten_kota,pengeluaran_perkapita_2015,pengeluaran_perkapita_2016,pengeluaran_perkapita_2017,pengeluaran_perkapita_2018,pengeluaran_perkapita_2019,pengeluaran_perkapita_2020,pengeluaran_perkapita_2021,pengeluaran_perkapita_2022,pengeluaran_perkapita_2023,pengeluaran_perkapita_2024
Aceh Barat,8135.0,8559.0,8989.0,9134.0,9692.0,9516.0,9593.0,9775.0,10085.0,10548.0
Aceh Barat Daya,7303.0,7567.0,7723.0,8093.0,8491.0,8316.0,8428.0,8651.0,9043.0,9559.0
Aceh Besar,8775.0,8788.0,8965.0,9192.0,9661.0,9641.0,9644.0,9894.0,10309.0,10810.0
Aceh Jaya,8749.0,8796.0,8898.0,9262.0,9682.0,9615.0,9666.0,10041.0,10461.0,11007.0
Aceh Selatan,7224.0,7397.0,7567.0,7891.0,8187.0,8089.0,8180.0,8353.0,8712.0,9190.0
Aceh Singkil,7602.0,8068.0,8230.0,8506.0,8715.0,8707.0,8776.0,8994.0,9374.0,9862.0
Aceh Tamiang,7750.0,7766.0,7931.0,8032.0,8362.0,8327.0,8367.0,8759.0,9050.0,9529.0
Aceh Tengah,9473.0,9920.0,10021.0,10394.0,10782.0,10673.0,10780.0,10957.0,11323.0,11805.0
Aceh Tenggara,7001.0,7212.0,7359.0,7685.0,8067.0,8020.0,8030.0,8222.0,8566.0,8876.0
Aceh Timur,7623.0,7825.0,7961.0,8252.0,8600.0,8489.0,8577.0,9127.0,9436.0,9889.0
Aceh Utara,7327.0,7520.0,7632.0,7919.0,8189.0,8122.0,8201.0,8620.0,8970.0,9374.0
Agam,8859.0,9111.0,9388.0,9489.0,9780.0,9651.0,9662.0,10171.0,10402.0,10686.0
Alor,6346.0,6468.0,6553.0,6750.0,6958.0,6786.0,6751.0,7198.0,7565.0,7806.0
Asahan,10067.0,10288.0,10477.0,10735.0,10983.0,10890.0,11030.0,11515.0,11795.0,12301.0
Asmat,5533.0,5601.0,5771.0,5882.0,6066.0,5733.0,5736.0,5860.0,6057.0,6262.0
Badung,16409.0,16567.0,17063.0,17325.0,17628.0,17503.0,17327.0,17445.0,17915.0,18556.0
Balangan,10736.0,10953.0,11186.0,11442.0,11557.0,11452.0,11500.0,11659.0,11888.0,12325.0
Bandung,9375.0,9580.0,9854.0,10203.0,10502.0,10201.0,10307.0,10588.0,11018.0,11392.0
Bandung Barat,7522.0,7698.0,8002.0,8329.0,8684.0,8455.0,8546.0,9044.0,9392.0,9583.0
Banggai,8895.0,9144.0,9516.0,9712.0,9842.0,9554.0,9603.0,9963.0,10400.0,10772.0
Banggai Kepulauan,7161.0,7286.0,7440.0,7545.0,7619.0,7429.0,7453.0,7712.0,8066.0,8375.0
Banggai Laut,7406.0,7529.0,7693.0,7810.0,7888.0,7663.0,7707.0,8037.0,8470.0,8776.0
Bangka,10904.0,11279.0,11420.0,12043.0,12480.0,12416.0,12424.0,12863.0,13146.0,13205.0
Bangka Barat,11243.0,11303.0,11394.0,12011.0,12275.0,12233.0,12269.0,12790.0,13105.0,13199.0
Bangka Selatan,10824.0,10932.0,10999.0,11573.0,11910.0,11757.0,11768.0,12341.0,12627.0,12718.0
Bangka Tengah,12210.0,12248.0,12330.0,12836.0,13070.0,12909.0,12945.0,13422.0,13643.0,13677.0
Bangkalan,7667.0,8030.0,8192.0,8393.0,8718.0,8610.0,8673.0,8971.0,9438.0,9841.0
Bangli,10649.0,10819.0,10956.0,11160.0,11369.0,11268.0,11201.0,11424.0,11670.0,12148.0
Banjar,12185.0,12311.0,12366.0,12571.0,12681.0,12603.0,12707.0,12871.0,13301.0,13683.0
Banjarnegara,7930.0,8400.0,8630.0,9160.0,9547.0,9263.0,9407.0,9776.0,10226.0,10595.0
Bantaeng,10467.0,10596.0,10751.0,11153.0,11592.0,11632.0,11829.0,12133.0,12304.0,12719.0
Bantul,14320.0,14880.0,14995.0,15386.0,15636.0,15517.0,15545.0,16002.0,16524.0,16851.0
Banyu Asin,8539.0,8899.0,9328.0,9760.0,10135.0,9850.0,9860.0,10299.0,10731.0,11277.0
Banyumas,10104.0,10554.0,10713.0,11240.0,11703.0,11448.0,11546.0,11905.0,12492.0,12960.0
Banyuwangi,10692.0,11171.0,11438.0,11828.0,12264.0,12140.0,12217.0,12320.0,12820.0,13320.0
Barito Kuala,9062.0,9226.0,9535.0,9780.0,9952.0,9805.0,9868.0,10230.0,10750.0,11168.0
Barito Selatan,10570.0,10938.0,11031.0,11242.0,11582.0,11486.0,11492.0,11780.0,12067.0,12508.0
Barito Timur,10570.0,10631.0,10808.0,11000.0,11333.0,11319.0,11322.0,11710.0,12083.0,12576.0
Barito Utara,8534.0,8774.0,9067.0,9357.0,10010.0,9936.0,9951.0,10182.0,10720.0,11150.0
Barru,9811.0,10155.0,10285.0,10622.0,10911.0,10923.0,11017.0,11275.0,11712.0,12058.0
Batang,8244.0,8568.0,8805.0,9203.0,9573.0,9431.0,9524.0,9972.0,10470.0,10919.0
Batang Hari,9407.0,9512.0,9573.0,9833.0,10038.0,9825.0,10032.0,10173.0,10528.0,10872.0
Batu Bara,9692.0,9886.0,10084.0,10385.0,10575.0,10410.0,10539.0,10755.0,10933.0,11373.0
Bekasi,10323.0,10435.0,10790.0,11155.0,11610.0,11241.0,11341.0,11757.0,12123.0,12500.0
Belitung,12443.0,12865.0,12910.0,13281.0,13662.0,13554.0,13563.0,14045.0,14365.0,14449.0
Belitung Timur,10523.0,10729.0,10894.0,11302.0,11831.0,11730.0,11760.0,12357.0,12536.0,12610.0
Belu,7083.0,7199.0,7251.0,7403.0,7677.0,7479.0,7431.0,7593.0,7907.0,8159.0
Bener Meriah,9760.0,10140.0,10428.0,10626.0,11124.0,11098.0,11118.0,11421.0,11855.0,12360.0
Bengkalis,10965.0,11325.0,11530.0,11640.0,11753.0,11331.0,11415.0,11857.0,12153.0,12321.0
Bengkayang,8489.0,8588.0,8640.0,9072.0,9182.0,9102.0,9193.0,9484.0,9859.0,10208.0
Bengkulu Selatan,8951.0,9044.0,9202.0,9592.0,9813.0,9837.0,9916.0,10318.0,10657.0,11040.0
Bengkulu Tengah,8163.0,8425.0,8701.0,9102.0,9435.0,9392.0,9471.0,9697.0,10114.0,10672.0
Bengkulu Utara,9444.0,9566.0,9698.0,10098.0,10336.0,10263.0,10410.0,10774.0,11188.0,11715.0
Berau,11572.0,11675.0,11843.0,12207.0,12726.0,12018.0,12435.0,13095.0,13620.0,14101.0
Biak Numfor,9603.0,9647.0,9812.0,9969.0,10211.0,9705.0,9607.0,9788.0,10229.0,10600.0
Bima,7371.0,7585.0,8006.0,8354.0,8631.0,8468.0,8495.0,8699.0,8963.0,9418.0
Bintan,13529.0,13667.0,13828.0,14256.0,14730.0,14482.0,14393.0,14739.0,14882.0,15078.0
Bireuen,7622.0,7885.0,8237.0,8378.0,8889.0,8857.0,8867.0,9438.0,9758.0,10150.0
Blitar,9272.0,9467.0,9828.0,10327.0,10861.0,10654.0,10757.0,11001.0,11499.0,12020.0
Blora,8699.0,8846.0,9065.0,9385.0,9795.0,9571.0,9669.0,10067.0,10541.0,10926.0
Boalemo,7817.0,7895.0,8325.0,8654.0,8874.0,8789.0,8940.0,9543.0,9941.0,10401.0
Bogor,9368.0,9537.0,9901.0,10323.0,10683.0,10317.0,10410.0,10860.0,11153.0,11563.0
Bojonegoro,8993.0,9420.0,9553.0,9926.0,10265.0,10121.0,10221.0,10323.0,10776.0,11204.0
Bolaang Mongondow,9369.0,9657.0,9761.0,10054.0,10470.0,10128.0,10220.0,10614.0,10915.0,11507.0
Bolaang Mongondow Selatan,8242.0,8371.0,8452.0,8743.0,9229.0,8837.0,8939.0,9238.0,9593.0,10114.0
Bolaang Mongondow Timur,8025.0,8361.0,8568.0,8856.0,9483.0,8998.0,9115.0,9390.0,9741.0,10191.0
Bolaang Mongondow Utara,8212.0,8593.0,8739.0,8992.0,9366.0,9062.0,9143.0,9285.0,9652.0,10170.0
Bombana,7392.0,7607.0,7908.0,8190.0,8344.0,8234.0,8310.0,8680.0,9132.0,9692.0
Bondowoso,9519.0,10007.0,10086.0,10429.0,10665.0,10610.0,10690.0,10851.0,11255.0,11689.0
Bone,7930.0,8275.0,8470.0,8686.0,8954.0,8963.0,9030.0,9277.0,9682.0,10084.0
Bone Bolango,8900.0,9115.0,9597.0,9827.0,10147.0,10052.0,10198.0,10676.0,11114.0,11717.0
Boven Digoel,7717.0,7770.0,8048.0,8211.0,8300.0,7947.0,7864.0,8086.0,8396.0,8616.0
Boyolali,11806.0,12192.0,12262.0,12758.0,13079.0,12910.0,13031.0,13250.0,13716.0,14195.0
